date,close
2015-09-29,1629.78
2015-09-30,1640.85
2015-10-08,1698.89
2015-10-09,1713.18
2015-10-12,1779.07
2015-10-13,1781.18
2015-10-14,1754.94
2015-10-15,1795.28
2015-10-16,1823.01
2015-10-19,1822.24
2015-10-20,1837.43
2015-10-21,1756.97
2015-10-22,1799.97
2015-10-23,1822.92
2015-10-26,1828.26
2015-10-27,1822.51
2015-10-28,1796.66
2015-10-29,1808.78
2015-10-30,1802.16
2015-11-02,1777.26
2015-11-03,1773.76
2015-11-04,1849.34
2015-11-05,1889.52
2015-11-06,1916.8
2015-11-09,1944.49
2015-11-10,1934.94
2015-11-11,1935.26
2015-11-12,1918.52
2015-11-13,1898.06
2015-11-16,1894.67
2015-11-17,1897.03
2015-11-18,1871.73
2015-11-19,1896.5
2015-11-20,1896.41
2015-11-23,1883.31
2015-11-24,1882.3
2015-11-25,1897.11
2015-11-26,1893.17
2015-11-27,1791.23
2015-11-30,1791.46
2015-12-01,1810.31
2015-12-02,1871.84
2015-12-03,1878.07
2015-12-04,1853.07
2015-12-07,1857.18
2015-12-08,1819.14
2015-12-09,1819.35
2015-12-10,1813.14
2015-12-11,1809.06
2015-12-14,1852.81
2015-12-15,1843.63
2015-12-16,1842.05
2015-12-17,1875.24
2015-12-18,1885.14
2015-12-21,1947.27
2015-12-22,1953.16
2015-12-23,1945.85
2015-12-24,1919.89
2015-12-25,1925.12
2015-12-28,1878.71
2015-12-29,1899.19
2015-12-30,1897.13
2015-12-31,1879.35
2016-01-01,1750.3
2016-01-04,1750.3
2016-01-05,1755.23
2016-01-06,1804.84
2016-01-07,1687.41
2016-01-08,1741.77
2016-01-11,1666.93
2016-01-12,1671.35
2016-01-13,1640.34
2016-01-14,1665.29
2016-01-15,1586.07
2016-01-18,1588.56
2016-01-19,1636.92
2016-01-20,1633.26
2016-01-21,1579.26
2016-01-22,1597.52
2016-01-25,1606.12
2016-01-26,1511.41
2016-01-27,1498.5
2016-01-28,1454.13
2016-01-29,1493.04
2016-02-01,1471.24
2016-02-02,1500.54
2016-02-03,1496.19
2016-02-04,1515.89
2016-02-05,1510.2
2016-02-15,1500.25
2016-02-16,1543.58
2016-02-17,1555.76
2016-02-18,1553.34
2016-02-19,1546.93
2016-02-22,1580.4
2016-02-23,1575.32
2016-02-24,1591.42
2016-02-25,1494.23
2016-02-26,1518.82
2016-02-29,1480.59
2016-03-01,1502.12
2016-03-02,1561.37
2016-03-03,1562.9
2016-03-04,1572.77
2016-03-07,1586.06
2016-03-08,1582.02
2016-03-09,1556.82
2016-03-10,1534.8
2016-03-11,1537.11
2016-03-14,1569.33
2016-03-15,1581.88
2016-03-16,1581.85
2016-03-17,1599.98
2016-03-18,1617.88
2016-03-21,1643.48
2016-03-22,1637.38
2016-03-23,1635.79
2016-03-24,1613.12
2016-03-25,1623.14
2016-03-28,1621.06
2016-03-29,1603.95
2016-03-30,1642.86
2016-03-31,1650.86
2016-04-01,1661.26
2016-04-05,1681.93
2016-04-06,1677.54
2016-04-07,1654.07
2016-04-08,1640.15
2016-04-11,1658.86
2016-04-12,1647.6
2016-04-13,1670.54
