date,open,high,low,close,volume
2016-07-12,74.4162,74.9562,74.2762,74.7762,2692174.0
2016-07-13,74.9162,74.9862,74.3762,74.8462,2495010.0
2016-07-14,75.5562,75.7262,75.2162,75.4062,1271914.0
2016-07-15,75.7562,75.7562,74.9862,75.3062,2443123.0
2016-07-18,75.3562,75.6062,75.0962,75.4962,1465089.0
2016-07-19,75.3162,75.3762,75.1062,75.3662,1265733.0
2016-07-20,75.5062,75.6862,75.1362,75.5762,2380584.0
2016-07-21,75.5262,75.7262,74.9762,75.1962,1088775.0
2016-07-22,75.3262,75.7362,75.1862,75.7062,1130950.0
2016-07-25,75.5862,75.8262,74.9962,75.2862,724613.0
2016-07-26,75.2562,75.5862,74.9862,75.5362,1591412.0
2016-07-27,75.5362,75.6362,74.7062,75.1262,1288611.0
2016-07-28,74.9362,75.3162,74.6162,75.1662,1657255.0
2016-07-29,74.8662,75.5462,74.7362,75.3562,1876484.0
2016-08-01,75.3562,75.3962,74.6462,74.8462,2018516.0
2016-08-02,74.6862,74.8162,73.6262,74.1362,1500568.0
2016-08-03,74.0162,74.6162,73.9262,74.5862,1430299.0
2016-08-04,74.7162,74.8962,74.4662,74.6162,1199269.0
2016-08-05,75.1662,75.7562,74.9062,75.7262,5266792.0
2016-08-08,75.8162,76.1262,75.7762,75.9062,767654.0
2016-08-09,75.8562,76.1362,75.6562,75.8862,3465108.0
2016-08-10,75.9862,76.0162,75.2762,75.4462,1322341.0
2016-08-11,75.7062,76.0762,75.5962,75.9662,1573910.0
2016-08-12,75.7262,76.0562,75.6762,75.8962,1196263.0
2016-08-15,76.1562,76.4662,75.8462,76.2962,1564788.0
2016-08-16,76.0762,76.1162,75.7962,75.8262,1918146.0
2016-08-17,75.7662,76.1262,75.3662,76.0862,1309329.0
2016-08-18,75.9962,76.5262,75.9962,76.4962,1087682.0
2016-08-19,76.2662,76.3862,75.8662,76.2262,1061201.0
2016-08-22,76.1462,76.2262,75.7162,76.1362,1524598.0
2016-08-23,76.5062,76.6662,76.3162,76.3162,1425888.0
2016-08-24,76.2862,76.3462,75.6862,75.8662,1136111.0
2016-08-25,75.6962,76.1562,75.5862,75.9062,1283756.0
2016-08-26,76.0462,76.6762,75.1962,75.6362,2655687.0
2016-08-29,75.8162,76.5862,75.7762,76.4562,1354485.0
2016-08-30,76.4262,76.6562,76.1462,76.4862,3210030.0
2016-08-31,76.3562,76.3662,75.6162,76.1662,1690313.0
2016-09-01,76.2162,76.3262,75.3662,76.0462,4951998.0
2016-09-02,76.5562,76.8362,76.3162,76.6762,1621174.0
2016-09-06,76.8162,76.9862,76.3662,76.9862,6108875.0
2016-09-07,76.7762,77.0662,76.6662,77.0562,2396544.0
2016-09-08,76.9362,77.2462,76.7162,77.1062,2690582.0
2016-09-09,76.3762,76.3862,74.4262,74.4262,2506425.0
2016-09-12,73.9162,76.1362,73.8762,75.9062,4772960.0
2016-09-13,75.0062,75.0562,73.6662,74.0362,3342727.0
2016-09-14,73.9662,74.6562,73.4262,73.7062,2579683.0
2016-09-15,73.5362,74.9662,73.5062,74.6962,3785667.0
2016-09-16,74.2162,74.3762,73.7762,74.1762,3403976.0
2016-09-19,74.4962,75.0362,74.2162,74.3562,1859917.0
2016-09-20,74.8462,75.1362,74.2162,74.2262,3653466.0
2016-09-21,74.6062,75.5662,74.3562,75.4962,7311415.0
2016-09-22,76.0162,76.3762,75.9062,76.1462,2209547.0
2016-09-23,75.8362,76.0462,75.4662,75.5362,1194807.0
2016-09-26,75.1374,75.2374,74.5574,74.6474,2658011.0
2016-09-27,74.4274,75.1674,74.2274,74.9874,2820520.0
2016-09-28,75.2574,76.1074,74.6374,76.0074,1824511.0
2016-09-29,75.8774,76.1574,74.6474,74.9974,2151866.0
2016-09-30,75.5574,76.3274,75.4174,75.9174,2390992.0
2016-10-03,75.6774,75.7274,75.2374,75.5074,2758425.0
2016-10-04,75.5974,75.7374,74.6574,74.9974,2935487.0
2016-10-05,75.3574,75.9574,75.3574,75.7474,2338141.0
2016-10-06,75.6374,75.8174,75.1374,75.7174,2399781.0
2016-10-07,75.8674,76.0574,74.9874,75.4474,3106474.0
2016-10-10,76.0274,76.3374,75.9174,75.9974,1437407.0
2016-10-11,75.6974,75.7474,74.2574,74.6574,2173519.0
2016-10-12,74.6574,75.0274,74.3874,74.7674,2569294.0
2016-10-13,73.9174,74.6474,73.4474,74.3874,2331595.0
2016-10-14,74.8774,75.2574,74.3374,74.3474,3656057.0
2016-10-17,74.3774,74.5974,73.9474,74.0474,2671405.0
2016-10-18,74.9174,75.0774,74.3774,74.6374,1297151.0
