strategy,cagr,sharpe,mdd,calmar,years,start,end,pct_in_market,trades,bh_cagr,bh_sharpe,bh_mdd
M1M2_Up&10Y<MA60 | 沪深300 [OOS],3.31,0.437,-12.19,0.271,3.0,2023-01-03,2026-01-30,32.0,9.0,6.81,0.474,-24.8
M1M2_Up|10Y<MA60 | 沪深300 [FULL],4.04,0.302,-52.59,0.077,13.6,2012-01-05,2026-01-30,76.7,52.0,5.42,0.354,-46.7
M1M2_Up|10Y<MA60 | 沪深300 [IS],3.12,0.253,-52.59,0.059,10.6,2012-01-05,2022-12-30,74.3,37.0,5.04,0.332,-46.7
M1M2_Up|10Y<MA60 | 沪深300 [OOS],7.38,0.551,-19.05,0.388,3.0,2023-01-03,2026-01-30,85.4,15.0,6.81,0.474,-24.8
M1M2_Up&10Y<MA120 | 沪深300 [FULL],2.32,0.247,-26.39,0.088,13.6,2012-01-05,2026-01-30,28.8,38.0,5.42,0.354,-46.7
M1M2_Up&10Y<MA120 | 沪深300 [IS],2.52,0.255,-26.39,0.096,10.6,2012-01-05,2022-12-30,27.4,32.0,5.04,0.332,-46.7
M1M2_Up&10Y<MA120 | 沪深300 [OOS],1.62,0.22,-13.88,0.117,3.0,2023-01-03,2026-01-30,33.9,6.0,6.81,0.474,-24.8
M1M2_Up|10Y<MA120 | 沪深300 [FULL],4.47,0.321,-51.09,0.088,13.6,2012-01-05,2026-01-30,78.3,38.0,5.42,0.354,-46.7
M1M2_Up|10Y<MA120 | 沪深300 [IS],3.36,0.264,-51.09,0.066,10.6,2012-01-05,2022-12-30,76.4,33.0,5.04,0.332,-46.7
M1M2_Up|10Y<MA120 | 沪深300 [OOS],8.57,0.587,-19.21,0.446,3.0,2023-01-03,2026-01-30,85.3,5.0,6.81,0.474,-24.8
M1M2>-3 | 中证500 [FULL],0.6,0.112,-41.77,0.014,13.6,2012-01-05,2026-01-30,28.9,5.0,7.36,0.412,-65.2
M1M2>-3 | 中证500 [IS],-0.77,0.017,-41.77,-0.018,10.6,2012-01-05,2022-12-30,34.7,4.0,5.9,0.354,-65.2
M1M2>-3 | 中证500 [OOS],5.68,0.921,-7.06,0.805,3.0,2023-01-03,2026-01-30,8.0,1.0,12.75,0.66,-31.15
M1M2>-2 | 中证500 [FULL],0.04,0.066,-36.04,0.001,13.6,2012-01-05,2026-01-30,24.7,7.0,7.36,0.412,-65.2
M1M2>-2 | 中证500 [IS],-0.22,0.053,-36.04,-0.006,10.6,2012-01-05,2022-12-30,30.2,6.0,5.9,0.354,-65.2
M1M2>-2 | 中证500 [OOS],0.98,0.208,-7.06,0.139,3.0,2023-01-03,2026-01-30,5.2,1.0,12.75,0.66,-31.15
M1M2>-1 | 中证500 [FULL],0.63,0.112,-33.46,0.019,13.6,2012-01-05,2026-01-30,19.5,5.0,7.36,0.412,-65.2
M1M2>-1 | 中证500 [IS],0.8,0.127,-33.46,0.024,10.6,2012-01-05,2022-12-30,25.0,5.0,5.9,0.354,-65.2
M1M2>-1 | 中证500 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,12.75,0.66,-31.15
M1M2>0 | 中证500 [FULL],-0.59,-0.007,-33.46,-0.018,13.6,2012-01-05,2026-01-30,17.3,2.0,7.36,0.412,-65.2
M1M2>0 | 中证500 [IS],-0.76,-0.008,-33.46,-0.023,10.6,2012-01-05,2022-12-30,22.1,2.0,5.9,0.354,-65.2
M1M2>0 | 中证500 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,12.75,0.66,-31.15
M1M2>1 | 中证500 [FULL],-1.21,-0.076,-33.46,-0.036,13.6,2012-01-05,2026-01-30,16.8,2.0,7.36,0.412,-65.2
M1M2>1 | 中证500 [IS],-1.55,-0.086,-33.46,-0.046,10.6,2012-01-05,2022-12-30,21.5,2.0,5.9,0.354,-65.2
M1M2>1 | 中证500 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,12.75,0.66,-31.15
M1M2>2 | 中证500 [FULL],-1.26,-0.097,-25.4,-0.05,13.6,2012-01-05,2026-01-30,15.5,2.0,7.36,0.412,-65.2
M1M2>2 | 中证500 [IS],-1.61,-0.11,-25.4,-0.063,10.6,2012-01-05,2022-12-30,19.8,2.0,5.9,0.354,-65.2
M1M2>2 | 中证500 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,12.75,0.66,-31.15
M1M2>3 | 中证500 [FULL],-1.26,-0.097,-25.4,-0.05,13.6,2012-01-05,2026-01-30,15.5,2.0,7.36,0.412,-65.2
M1M2>3 | 中证500 [IS],-1.61,-0.11,-25.4,-0.063,10.6,2012-01-05,2022-12-30,19.8,2.0,5.9,0.354,-65.2
M1M2>3 | 中证500 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,12.75,0.66,-31.15
M1M2_Rising(3m) | 中证500 [FULL],6.36,0.424,-49.17,0.129,13.6,2012-01-05,2026-01-30,47.6,23.0,7.36,0.412,-65.2
M1M2_Rising(3m) | 中证500 [IS],5.59,0.378,-49.17,0.114,10.6,2012-01-05,2022-12-30,46.7,19.0,5.9,0.354,-65.2
M1M2_Rising(3m) | 中证500 [OOS],9.15,0.645,-20.64,0.443,3.0,2023-01-03,2026-01-30,50.9,4.0,12.75,0.66,-31.15
M1M2_Rising(6m) | 中证500 [FULL],4.07,0.311,-49.17,0.083,13.6,2012-01-05,2026-01-30,42.4,20.0,7.36,0.412,-65.2
M1M2_Rising(6m) | 中证500 [IS],4.64,0.336,-49.17,0.094,10.6,2012-01-05,2022-12-30,40.1,17.0,5.9,0.354,-65.2
M1M2_Rising(6m) | 中证500 [OOS],2.03,0.208,-20.9,0.097,3.0,2023-01-03,2026-01-30,50.7,3.0,12.75,0.66,-31.15
M1>0% | 中证500 [FULL],8.21,0.452,-65.2,0.126,13.6,2012-01-05,2026-01-30,94.8,3.0,7.36,0.412,-65.2
M1>0% | 中证500 [IS],7.72,0.422,-65.2,0.118,10.6,2012-01-05,2022-12-30,98.7,2.0,5.9,0.354,-65.2
M1>0% | 中证500 [OOS],9.96,0.635,-31.0,0.321,3.0,2023-01-03,2026-01-30,81.0,1.0,12.75,0.66,-31.15
M1>3% | 中证500 [FULL],6.65,0.403,-60.14,0.111,13.6,2012-01-05,2026-01-30,80.3,9.0,7.36,0.412,-65.2
M1>3% | 中证500 [IS],5.9,0.358,-60.14,0.098,10.6,2012-01-05,2022-12-30,91.2,7.0,5.9,0.354,-65.2
M1>3% | 中证500 [OOS],9.39,0.861,-20.26,0.463,3.0,2023-01-03,2026-01-30,41.0,2.0,12.75,0.66,-31.15
M1>5% | 中证500 [FULL],2.61,0.233,-43.51,0.06,13.6,2012-01-05,2026-01-30,53.7,9.0,7.36,0.412,-65.2
M1>5% | 中证500 [IS],0.86,0.145,-43.51,0.02,10.6,2012-01-05,2022-12-30,62.6,7.0,5.9,0.354,-65.2
M1>5% | 中证500 [OOS],9.09,1.182,-7.06,1.287,3.0,2023-01-03,2026-01-30,21.6,2.0,12.75,0.66,-31.15
